wavelength,n,k
5.651423005841656959e+03,1.551729423368559457e+00,5.145469630280235726e-03
5.750116081889760608e+03,1.551745924238694396e+00,5.393784905528439116e-03
5.850532674873289579e+03,1.551767863180145257e+00,5.644828894772829786e-03
5.952702883262635623e+03,1.551793355308203282e+00,5.901237888402988477e-03
6.056657331149892343e+03,1.551820742903587957e+00,6.157941969131788817e-03
6.162427177428005052e+03,1.551849164744311338e+00,6.419360050834356513e-03
6.270044125130228167e+03,1.551884721196822969e+00,6.679767599076457361e-03
6.379540430932644085e+03,1.551922613169712806e+00,6.946620578070595436e-03
6.490948914822662118e+03,1.551962681386280352e+00,7.214400006874620817e-03
6.604302969936352383e+03,1.551999679339073346e+00,7.490643355169942889e-03
6.719636572567562325e+03,1.552017115841591632e+00,7.771366142878479918e-03
6.836984292351858130e+03,1.552014358448772002e+00,8.070509621069713035e-03
6.956381302628261437e+03,1.551983580728333090e+00,8.392565435984340044e-03
7.077863390981977318e+03,1.551948067203112958e+00,8.730472669197974350e-03
7.201466969971237631e+03,1.551911035784711901e+00,9.081610647279308654e-03
7.327229088041432988e+03,1.551874786427452690e+00,9.435637756757365296e-03
7.455187440629880257e+03,1.551843763973163925e+00,9.797195241539541702e-03
7.585380381464500715e+03,1.551817274659632817e+00,1.016696341879615162e-02
7.717846934059806699e+03,1.551794046468671695e+00,1.055773438404664089e-02
7.852626803413675589e+03,1.551770534882661812e+00,1.097607759315221213e-02
7.989760387908341727e+03,1.551746795258194256e+00,1.142382568282483864e-02
8.129288791419256086e+03,1.551725282398078054e+00,1.187610876288652979e-02
8.271253835635416181e+03,1.551707073116018742e+00,1.232507096522718337e-02
8.415698072594805126e+03,1.551691182604105990e+00,1.274781886898946823e-02
8.562664797438788810e+03,1.551675948530557791e+00,1.307653943004261250e-02
8.712198061389217401e+03,1.551660408908301703e+00,1.336222584565233996e-02
8.864342684952172931e+03,1.551644628595448383e+00,1.364463116691249332e-02
9.019144271352293799e+03,1.551628612855360689e+00,1.393551516009115636e-02
9.176649220201690696e+03,1.551612375403001787e+00,1.424336437588416895e-02
9.336904741407581241e+03,1.551608281718265925e+00,1.464372065401219405e-02
9.499958869322821556e+03,1.551640696592119451e+00,1.507360287307361532e-02
9.665860477143505705e+03,1.551697305924387926e+00,1.551879410806654425e-02
9.834659291558038603e+03,1.551764372387094193e+00,1.597122680936692921e-02
1.000640590765200977e+04,1.551831127532348864e+00,1.642540772363283719e-02
1.018115180407336447e+04,1.551890061576793878e+00,1.685926854117988233e-02
1.035894935846242151e+04,1.551882012087274720e+00,1.721811385597610961e-02
1.053985186315131432e+04,1.551851856984487910e+00,1.758312803318124937e-02
1.072391354113763373e+04,1.551818212528361274e+00,1.795452201875715956e-02
1.091118956233703648e+04,1.551783986890159950e+00,1.832379104835992270e-02
1.110173606011961056e+04,1.551751029600083376e+00,1.864376889978917179e-02
1.129561014813511065e+04,1.551727692037141448e+00,1.887507919222557173e-02
1.149286993743194944e+04,1.551719439811982904e+00,1.905404750545761777e-02
1.169357455387517984e+04,1.551718791031524880e+00,1.922669201991967364e-02
1.189778415586867050e+04,1.551718791031524880e+00,1.946713874651962231e-02
1.210555995238670039e+04,1.551718791031524880e+00,1.993653967542843158e-02
1.231696422132052248e+04,1.551718791031524880e+00,2.067797829381298053e-02
1.253206032814530772e+04,1.551718791031524880e+00,2.152375499667201486e-02
1.275091274491301374e+04,1.551718791031524880e+00,2.238766331924160399e-02
1.297358706957702270e+04,1.551718791031524880e+00,2.325012766974499795e-02
1.320015004565419258e+04,1.551718791031524880e+00,2.355503718156032669e-02
1.343066958223028450e+04,1.551718791031524880e+00,2.380095111628790713e-02
1.366521477431480525e+04,1.551718791031524880e+00,2.404093130595865227e-02
1.390385592355121298e+04,1.551718791031524880e+00,2.428425614599061949e-02
1.414666455928887990e+04,1.551718791031524880e+00,2.453166123680318444e-02
